Country,Cluster
ad,4
ae,2
af,4
ag,3
ai,4
al,3
am,4
anthems_translations_english.csv,4
ao,2
ar,3
at,1
au,1
aw,4
ax,0
az,4
bb,4
bd,3
bf,2
bg,4
bh,2
bj,0
bl,1
bm,3
bn,4
bo,2
br,0
bs,4
bt,1
bw,2
by,2
bz,1
ca,4
cd,2
cf,4
cg,2
ci,3
ck,1
cl,1
cm,4
cn,4
co,0
cr,3
cu,3
cv,2
cw,4
cz,1
de,0
dj,0
dm,3
do,4
dz,2
ee,4
eg,3
eh,3
er,4
et,2
fj,4
fk,1
fm,4
fr,0
ga,4
gb,4
gd,3
ge,0
gg,3
gh,4
gi,4
gl,2
gm,4
gn,2
gq,2
gt,2
gu,1
gw,2
gy,1
hn,2
hr,4
ht,2
hu,0
id,4
ie,4
il,4
im,1
in,3
iq,0
ir,2
it,2
je,4
jm,4
jo,4
jp,3
ke,4
kg,0
kh,4
ki,3
km,1
kn,4
kp,4
kr,1
kw,2
ky,3
kz,2
la,2
lb,2
lc,1
li,4
lr,4
ls,1
lt,4
lu,2
lv,0
ly,2
ma,4
mc,0
md,0
me,0
mf,3
mg,1
mh,1
mk,4
ml,4
mm,2
mn,2
mr,2
ms,4
mt,4
mu,3
mv,2
mw,1
mx,0
my,1
mz,2
na,3
ne,2
nf,4
ng,4
ni,3
no,2
np,3
nr,2
nu,0
nz,4
om,4
pa,0
pe,1
pf,3
pg,4
ph,0
pk,1
pl,2
pn,1
pr,1
ps,2
pt,0
pw,4
py,2
qa,4
re,1
ro,0
ru,3
rw,2
sa,2
sb,1
sc,2
sd,0
se,3
sg,4
sh,1
sk,0
sl,3
sn,3
so,4
sr,4
ss,4
st,2
sv,2
sx,3
sy,0
sz,3
tc,0
td,2
tg,3
th,2
tj,0
tk,4
tl,2
tm,4
tn,0
to,4
tr,0
tt,4
tv,4
tz,4
ua,0
ug,4
us,1
uy,2
uz,4
va,4
vc,1
ve,0
vg,1
vi,1
vn,2
vu,4
ws,4
ye,4
za,4
zm,3
zw,1
